"","Round","Cohort","Age","Sex","Cage","Mouse_ID","Weight","Trial","Date","Time","Start","End","trialDur","cFOS","VSA_control","arenaSize","arenaColor","Fecal","fileName","file_name","TrueZero","Chewed","numVoids","minVol","maxVol","meanVol","medVol","totVol"
"1","1","C1","Old","F","746","268",28.4888888888889,1,"8/8/2022","dark",2025-01-16 07:56:00,2025-01-16 09:26:00,2025-01-16 01:30:00,"","","15"" x 15""","Black",11,"20220808_19.56_C1_746_268_F_VSA.tiff","20220808_19.56_C1_746_268_F_VSA.csv","","",1,465.0102576,465.0102576,465.0102576,465.0102576,465.0102576
"2","1","C1","Old","F","746","268",28.4888888888889,4,"8/9/2022","dark",2025-01-16 06:35:00,2025-01-16 08:05:00,2025-01-16 01:30:00,"","","15"" x 15""","Black",6,"20220809_18.35_C1_746_268_F_VSA.tiff","","Y","",0,0,0,0,0,0
"3","1","C1","Old","F","746","268",28.4888888888889,2,"8/9/2022","light",2025-01-16 06:09:00,2025-01-16 07:39:00,2025-01-16 01:30:00,"","","15"" x 15""","Black",24,"20220809_06.09_C1_746_268_F_VSA.tiff","20220809_06.09_C1_746_268_F_VSA.csv","","",4,1.27722,210.4092228,53.85078825,1.8583551,215.403153
"4","1","C1","Old","F","746","268",28.4888888888889,3,"8/9/2022","light",2025-01-16 11:13:00,2025-01-16 12:43:00,2025-01-16 01:30:00,"","","15"" x 15""","Black",7,"20220810_11.13_C1_746_268_F_VSA.tiff","","Y","",0,0,0,0,0,0
"5","1","C1","Old","F","746","268",28.4888888888889,5,"8/11/2022","light",2025-01-16 06:58:00,2025-01-16 08:18:30,2025-01-16 01:20:00,"Y","","15"" x 15""","Black",6,"20220811_06.58_C1_746_268_F_VSA.tiff","20220811_06.58_C1_746_268_F_VSA.csv","","",1,341.273184,341.273184,341.273184,341.273184,341.273184
"6","1","C1","Old","F","746","269",28.4888888888889,1,"8/8/2022","dark",2025-01-16 06:19:00,2025-01-16 07:49:00,2025-01-16 01:30:00,"","","15"" x 15""","Black",6,"20220808_18.19_C1_746_269_F_VSA.tiff","20220808_18.19_C1_746_269_F_VSA.csv","","",1,4.342548,4.342548,4.342548,4.342548,4.342548
"7","1","C1","Old","F","746","269",28.4888888888889,4,"8/9/2022","dark",2025-01-16 08:28:00,2025-01-16 09:58:00,2025-01-16 01:30:00,"","","15"" x 15""","Black",10,"20220809_20.28_C1_746_269_F_VSA.tiff","20220809_20.28_C1_746_269_F_VSA.csv","","",2,8.4807408,453.4131,230.9469204,230.9469204,461.8938408
"8","1","C1","Old","F","746","269",28.4888888888889,2,"8/9/2022","light",2025-01-16 06:10:00,2025-01-16 07:40:00,2025-01-16 01:30:00,"","","15"" x 15""","Black",20,"20220809_06.10_C1_746_269_F_VSA.tiff","20220809_06.10_C1_746_269_F_VSA.csv","","",5,1.7497914,22.4662998,10.1794434,11.2650804,50.897217
"9","1","C1","Old","F","746","269",28.4888888888889,3,"8/9/2022","light",2025-01-16 11:12:00,2025-01-16 12:42:00,2025-01-16 01:30:00,"","","15"" x 15""","Black",7,"20220810_11.12_C1_746_269_F_VSA.tiff","","Y","",0,0,0,0,0,0
"10","1","C1","Old","F","746","269",28.4888888888889,5,"8/11/2022","light",2025-01-16 06:58:00,2025-01-16 10:20:00,2025-01-16 03:22:00,"Y","","15"" x 15""","Black",14,"20220811_06.58_C1_746_269_F_VSA.tiff","20220811_06.58_C1_746_269_F_VSA.csv","","",2,1.6731582,454.2943818,227.98377,227.98377,455.96754
